"","PlantID","Seed","Observer","Date","Notes","Harvest","Block","Plot","Position","Warming","Mow","DT1","DT2","DT3","DT4","DT5","DT6","DT7","DT8","DT9","DT10","DT.Avg","SeedLength","SeedWidth","FieldDiameter","Diameter","Peduncle.","Emrg","eggCases","Cysts","goodSeed","badSeed","DateMowed","MaxHeightPostMow"
"49","1_2_3",10,"RMC","12/3/2015",NA,"7/24/2015",1,2,3,"W","E",2.32,2.5,2.35,NA,NA,NA,NA,NA,NA,NA,2.34,17,18.04,43.13,33.41,"Y",0,0,0,220,31,"6/5/2015",74.2
"50","1_2_3",10,"RMC","11/13/2015",NA,"7/24/2015",1,2,3,"W","E",2.78,2.66,2.65,NA,NA,NA,NA,NA,NA,NA,2.66,15.01,17,41.85,30.88,"Y",0,0,0,181,58,"6/5/2015",74.2
"51","10_1_3",1,"RMC","4/28/2016",NA,"7/31/2015",10,1,3,"W","CTL",1.59,1.72,1.66,NA,NA,NA,NA,NA,NA,NA,1.69,16.21,18.5,41.86,30.79,"Y",0,0,0,131,30,NA,89.4
"52","10_1_3",1,"RMC","5/5/2016",NA,"7/31/2015",10,1,3,"W","CTL",1.72,1.62,NA,NA,NA,NA,NA,NA,NA,NA,1.67,10.49,19.93,39.01,24.07,"Y",0,0,0,110,23,NA,89.4
"53","10_1_3",2,"RMC","5/5/2016",NA,"7/31/2015",10,1,3,"W","CTL",1.71,1.82,1.75,NA,NA,NA,NA,NA,NA,NA,1.73,7.53,20.43,39.01,24.07,"Y",0,0,0,110,23,NA,89.4
"54","10_2_1",1,"RMC","5/3/2016",NA,"7/24/2015",10,2,1,"A","CTL",1.72,1.63,NA,NA,NA,NA,NA,NA,NA,NA,1.68,13.38,21.22,38.96,28.14,"Y",0,0,0,96,80,NA,73.7
"55","10_2_1",1,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.78,2.75,NA,NA,NA,NA,NA,NA,NA,NA,2.77,19.43,27.03,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"56","10_2_1",2,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.53,2.59,NA,NA,NA,NA,NA,NA,NA,NA,2.56,18.74,28.69,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"57","10_2_1",3,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.43,2.37,NA,NA,NA,NA,NA,NA,NA,NA,2.4,19.12,25.99,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"58","10_2_1",4,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.28,2.4,2.34,NA,NA,NA,NA,NA,NA,NA,2.31,19.26,25.27,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"59","10_2_1",5,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.22,2.32,NA,NA,NA,NA,NA,NA,NA,NA,2.27,26.57,10.67,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
